cleaned_complaint;category;category_label
parent kishanpur police patrol night latehar area residents feel unsafe please increase police patrolling area;Safety & Public Welfare;6
run shop near hazaribagh market plastic waste burnt openly near silli every evening kindly take necessary action;Waste Management;7
sir ji new transformer promised barhi still installed requesting resolve soon;Energy & Sustainability;3
may concern plastic waste burnt openly near bero every evening kindly send someone check soon possible;Waste Management;7
may concern nearest hospital chandpur far transport emergencies really worried health children;Public Health;5
dear officer road dug pipeline work 28 months ago still repaired waiting response;Infrastructure & Roads;4
dear officer water community well tastes salty unsafe drink kindly repair pipeline people fall sick;Water Quality & Sanitation;8
sir open drains near pakur overflowing spreading foul smell street complaining long time;Water Quality & Sanitation;8
primary health centre hazaribagh doctor available days waiting response;Public Health;5
farmers koderma want inform wild animals nearby forest keep destroying crops bero night;Agriculture & Rural Development;0
residents dumka colony want inform old age home kishanpur enough staff take care residents please increase police patrolling area;Safety & Public Welfare;6
hello many people godda fallen sick diarrhea recent floods needs fixed immediately;Public Health;5
respected sir madam wild animals nearby forest keep destroying crops jamshedpur night facing lot losses please help soon;Agriculture & Rural Development;0
respected authority nearest school higher secondary far manjhgaon many students drop affecting studies lot please help;Education;2
sir vehicles passing torpa road release thick black smoke pollution check ever happens complaining long time;Air & Environmental Pollution;1
proper storage facility shivpuri lot grain gets spoiled every year needs fixed immediately;Agriculture & Rural Development;0
anganwadi centre madhopur distributed nutrition supplements months requesting resolve soon;Public Health;5
respected sir madam cctv cameras installed near deoghar market working months kindly send someone check soon possible;Safety & Public Welfare;6
residents latehar village want inform factory waste dumped river near devgarh use drinking water kindly take necessary action;Water Quality & Sanitation;8
may concern plastic waste burnt openly near sahibganj every evening smell become unbearable residents;Waste Management;7
hello coal transport trucks passing ramgarh spread black dust houses please look matter urgently;Air & Environmental Pollution;1
sir plastic waste burnt openly near koderma every evening kindly take necessary action;Waste Management;7
class 37 student hazaribagh proper toilets girls school many students skip classes needs fixed immediately;Education;2
hello dustbin provided market area chandpur people throw garbage road please look matter urgently;Waste Management;7
every day bokaro power cut simdega 2 hours every day complaining long time;Energy & Sustainability;3
may concern health worker visited village vaccination 34 weeks kindly take necessary action;Public Health;5
respected sir madam anganwadi centre shivpuri distributed nutrition supplements months please send doctor health centre soon;Public Health;5
may concern strong chemical smell coming industrial area near ranchi every night please look matter urgently;Air & Environmental Pollution;1
school jamtara school boundary wall safe exam season;Education;2
writing behalf residents nagla basti many people jamshedpur fallen sick diarrhea recent floods really worried health children;Public Health;5
residents pathalgaon want inform new transformer promised rampur still installed hope quick action side;Energy & Sustainability;3
respected sir madam anganwadi centre latehar distributed nutrition supplements months please help us soon possible;Public Health;5
government hospital deoghar always even basic medicines really worried health children;Public Health;5
proper sanitation hospital ward patients getting infections kindly arrange medicines health camp area;Public Health;5
sir ji tube well provided government manjhgaon stopped working months facing lot losses please help soon;Agriculture & Rural Development;0
resident ranchi want inform proper sanitation hospital ward patients getting infections needs fixed immediately;Public Health;5
respected authority public toilet near chaibasa water connection cannot used worried health children water;Water Quality & Sanitation;8
residents dhanbad colony want inform police patrol night hazaribagh area residents feel unsafe please help us soon possible;Safety & Public Welfare;6
respected authority plastic waste burnt openly near chandpur every evening please help us soon possible;Waste Management;7
may concern government hospital bundu always even basic medicines kindly take necessary action;Public Health;5
sir open drains near netarhat overflowing spreading foul smell street kindly repair pipeline people fall sick;Water Quality & Sanitation;8
parent giridih proper lighting khunti street women feel scared walk alone night needs fixed immediately;Safety & Public Welfare;6
dear officer water pipeline burst 9 days ago dirty muddy water entering homes needs fixed immediately;Water Quality & Sanitation;8
respected authority health worker visited village vaccination 10 weeks kindly take necessary action;Public Health;5
respected sir madam received textbooks even though session started 32 months ago hope quick action side;Education;2
respected authority nearest school higher secondary far jamshedpur many students drop requesting resolve soon;Education;2
residents bishnupur colony want bring notice brick kiln near village releases smoke day crops getting affected please look matter urgently;Air & Environmental Pollution;1
hello wild animals nearby forest keep destroying crops bundu night waiting response;Agriculture & Rural Development;0
sir electricity bill month unusually high even though usage increased please help us soon possible;Energy & Sustainability;3
child unwell child suffering fever 34 days local clinic medicines;Public Health;5
may concern cctv cameras installed near hazaribagh market working months requesting resolve soon;Safety & Public Welfare;6
road connecting sultanpur main highway huge potholes dangerous needs fixed immediately;Infrastructure & Roads;4
sir proper sanitation hospital ward patients getting infections please help us soon possible;Public Health;5
run shop near dhanbad market waste nearby slaughterhouse dumped near koderma without treatment needs fixed immediately;Waste Management;7
every evening bero air quality jamshedpur become bad family keeps coughing complaining long time;Air & Environmental Pollution;1
sir people dumping waste open plot near bero attracting stray animals waiting response;Waste Management;7
dear officer sewage water mixing drinking water pipeline palamu please help us soon possible;Water Quality & Sanitation;8
residents rampur colony want inform railway crossing near karra gate dangerous pedestrians waiting response;Safety & Public Welfare;6
respected sir madam fields flooded recent rains compensation given us please help us kisano ko troubled;Agriculture & Rural Development;0
hello garbage collection point near sultanpur cleared weeks smells bad kindly send someone check soon possible;Waste Management;7
sir clean drinking water supply bokaro past 15 days please look matter urgently;Water Quality & Sanitation;8
child unwell primary health centre chandpur doctor available days needs fixed immediately;Public Health;5
respected authority rainy season road near barhi gets completely waterlogged unusable waiting response;Infrastructure & Roads;4
parent student torpa school received textbooks even though session started 37 months ago complaining long time;Education;2
living devgarh many years water community well tastes salty unsafe drink complaining long time;Water Quality & Sanitation;8
residents chatra colony want inform streetlight near girls hostel madhopur feels unsafe walk night please help us soon possible;Safety & Public Welfare;6
sir ji electricity bill month unusually high even though usage increased complaining long time;Energy & Sustainability;3
voltage fluctuation ranchi damaged several household appliances recently kindly send someone check soon possible;Energy & Sustainability;3
every day going work chaibasa proper road signs godda bypass accidents keep happening waiting response;Infrastructure & Roads;4
respected authority garbage collection point near dhanbad cleared weeks smells bad requesting resolve soon;Waste Management;7
sir ji old age home simdega enough staff take care residents needs fixed immediately;Safety & Public Welfare;6
sir farmer lakhanpur loan waiver promised farmers simdega still processed hope quick action side;Agriculture & Rural Development;0
namaste sir main ek kisan hoon shivpuri village wild animals nearby forest keep destroying crops netarhat night hope quick action side;Agriculture & Rural Development;0
respected authority people dumping waste open plot near khunti attracting stray animals requesting resolve soon;Waste Management;7
every day torpa village still proper electricity connection even promised one hope quick action side;Energy & Sustainability;3
respected authority solar street lights installed bundu stopped working within months complaining long time;Energy & Sustainability;3
sir sewage water mixing drinking water pipeline gumla kindly take necessary action;Water Quality & Sanitation;8
respected sir madam child suffering fever 43 days local clinic medicines hope quick action side;Public Health;5
namaste sir main ek kisan hoon lakhanpur village proper storage facility simdega lot grain gets spoiled every year requesting resolve soon;Agriculture & Rural Development;0
sir ji coal transport trucks passing jamtara spread black dust houses requesting resolve soon;Air & Environmental Pollution;1
dear officer drainage near market ramgarh blocked garbage overflowing please send garbage truck area regularly;Waste Management;7
sir strong chemical smell coming industrial area near kishanpur every night needs fixed immediately;Air & Environmental Pollution;1
farmers jamshedpur want inform irrigation canal near devgarh dry entire season crops dying requesting resolve soon;Agriculture & Rural Development;0
respected authority cctv cameras installed near gumla market working months requesting resolve soon;Safety & Public Welfare;6
sir dustbin provided market area bishnupur people throw garbage road waiting response;Waste Management;7
every day going work latehar bridge near lakhanpur damaged vehicles struggling cross requesting resolve soon;Infrastructure & Roads;4
student studying jamshedpur nearest school higher secondary far khunti many students drop;Education;2
sir garbage collected street chatra week kindly send someone check soon possible;Waste Management;7
hello primary health centre koderma doctor available days really worried health children;Public Health;5
every morning dhanbad dustbin provided market area gumla people throw garbage road kindly send someone check soon possible;Waste Management;7
residents tamar colony want bring notice cannot sit outside evening smoke nearby factory chimney requesting resolve soon;Air & Environmental Pollution;1
hello cctv cameras installed near dhanbad market working months feel safe neighbourhood anymore;Safety & Public Welfare;6
respected authority waste nearby slaughterhouse dumped near devgarh without treatment requesting resolve soon;Waste Management;7
farming dumka many years proper storage facility shivpuri lot grain gets spoiled every year requesting resolve soon;Agriculture & Rural Development;0
dear officer dustbin provided market area karra people throw garbage road please help us soon possible;Waste Management;7
anganwadi centre jamtara distributed nutrition supplements months please send doctor health centre soon;Public Health;5
residents palamu want inform transformer near koderma keeps tripping causing frequent power fluctuations hope quick action side;Energy & Sustainability;3
respected authority power supply bundu keeps going every time rains kindly restore power supply soon possible;Energy & Sustainability;3
sir ji streetlight road near lakhanpur 20 months needs fixed immediately;Infrastructure & Roads;4
hello people dumping waste open plot near latehar attracting stray animals kindly send someone check soon possible;Waste Management;7
sir transformer near shivpuri keeps tripping causing frequent power fluctuations kindly take necessary action;Energy & Sustainability;3
sir ji factory waste dumped river near karra use drinking water please help us soon possible;Water Quality & Sanitation;8
school bishnupur one teacher entire primary school manjhgaon complaining long time;Education;2
respected sir madam outbreak dengue ranchi health department sprayed anything needs fixed immediately;Public Health;5
student studying bundu school boundary wall safe exam season waiting response;Education;2
respected sir madam government school building kishanpur leaking roof classes get disturbed rain kindly send someone check soon possible;Education;2
dear officer voltage fluctuation simdega damaged several household appliances recently kindly restore power supply soon possible;Energy & Sustainability;3
commuters chaibasa road want inform footpath near chaibasa broken long time difficult elderly people walk please look matter urgently;Infrastructure & Roads;4
hello government hospital hazaribagh always even basic medicines complaining long time;Public Health;5
may concern anganwadi centre godda distributed nutrition supplements months complaining long time;Public Health;5
sir stagnant water collected near sanitation tank koderma weeks kindly send someone check soon possible;Water Quality & Sanitation;8
respected authority road divider near sahibganj market broken causing traffic problems every day please repair road someone gets seriously hurt;Infrastructure & Roads;4
respected sir madam plastic waste burnt openly near netarhat every evening smell become unbearable residents;Waste Management;7
sir ji road divider near netarhat market broken causing traffic problems every day kindly take necessary action;Infrastructure & Roads;4
respected authority plastic waste burnt openly near chandpur every evening please send garbage truck area regularly;Waste Management;7
respected authority irrigation canal near bero dry entire season crops dying requesting resolve soon;Agriculture & Rural Development;0
respected sir madam transformer near ranchi keeps tripping causing frequent power fluctuations kindly send someone check soon possible;Energy & Sustainability;3
travel karra daily footpath near godda broken long time difficult elderly people walk please help us soon possible;Infrastructure & Roads;4
respected sir madam culvert near nagla basti collapsed villagers take long detour kindly send someone check soon possible;Infrastructure & Roads;4
may concern solar street lights installed sahibganj stopped working within months requesting resolve soon;Energy & Sustainability;3
farming lakhanpur many years proper storage facility bundu lot grain gets spoiled every year waiting response;Agriculture & Rural Development;0
respected sir madam bridge near chatra damaged vehicles struggling cross please help us soon possible;Infrastructure & Roads;4
respected sir madam government school building bishnupur leaking roof classes get disturbed rain kindly take necessary action;Education;2
sir ji fields flooded recent rains compensation given us hope quick action side;Agriculture & Rural Development;0
residents shivpuri colony want inform boundary wall community park sahibganj broken children wander onto main road kindly take necessary action;Safety & Public Welfare;6
namaste sir main ek kisan hoon manjhgaon village price getting produce mandi much lower announced msp waiting response;Agriculture & Rural Development;0
resident kishanpur hand pump village broken 38 days walk far fetch water please help us soon possible;Water Quality & Sanitation;8
residents khunti colony want inform old age home hazaribagh enough staff take care residents feel safe neighbourhood anymore;Safety & Public Welfare;6
hello playground equipment manjhgaon broken rusted safe children anymore hope quick action side;Safety & Public Welfare;6
child unwell ambulance service available lakhanpur emergencies kindly send someone check soon possible;Public Health;5
hello streetlight road near bokaro 4 months requesting resolve soon;Infrastructure & Roads;4
resident manjhgaon water pipeline burst 26 days ago dirty muddy water entering homes worried health children water;Water Quality & Sanitation;8
respected authority proper sewage system palamu waste water collects road every day worried health children water;Water Quality & Sanitation;8
may concern proper sewage system dhanbad waste water collects road every day requesting resolve soon;Water Quality & Sanitation;8
respected sir madam rainy season road near torpa gets completely waterlogged unusable kindly take necessary action;Infrastructure & Roads;4
sir proper storage facility sultanpur lot grain gets spoiled every year needs fixed immediately;Agriculture & Rural Development;0
vehicles passing simdega road release thick black smoke pollution check ever happens children developing breathing problems smoke;Air & Environmental Pollution;1
may concern drainage near market kishanpur blocked garbage overflowing kindly send someone check soon possible;Waste Management;7
residents lakhanpur street want inform dustbin provided market area bundu people throw garbage road complaining long time;Waste Management;7
residents koderma colony want inform old age home pakur enough staff take care residents please look matter urgently;Safety & Public Welfare;6
sir ji old age home sahibganj enough staff take care residents kindly take necessary action;Safety & Public Welfare;6
may concern anganwadi centre jamshedpur distributed nutrition supplements months kindly send someone check soon possible;Public Health;5
run small shop lakhanpur village still proper electricity connection even promised one requesting resolve soon;Energy & Sustainability;3
respected sir madam government school building pakur leaking roof classes get disturbed rain please look matter urgently;Education;2
school latehar one teacher entire primary school simdega please help us soon possible;Education;2
respected sir madam power supply pakur keeps going every time rains requesting resolve soon;Energy & Sustainability;3
respected sir madam stone crushing unit near pathalgaon covers entire area dust every afternoon kindly take necessary action;Air & Environmental Pollution;1
sir ji power supply gumla keeps going every time rains kindly restore power supply soon possible;Energy & Sustainability;3
living manjhgaon many years water supplied tanker chaibasa treated looks dirty kindly take necessary action;Water Quality & Sanitation;8
hello government school building khunti leaking roof classes get disturbed rain please help us soon possible;Education;2
sir outbreak dengue devgarh health department sprayed anything requesting resolve soon;Public Health;5
sir ji proper lighting simdega street women feel scared walk alone night;Safety & Public Welfare;6
sir farmer chandpur wild animals nearby forest keep destroying crops pakur night needs fixed immediately;Agriculture & Rural Development;0
nearest hospital tamar far transport emergencies requesting resolve soon;Public Health;5
may concern internet facility school makes hard access online classes affecting studies lot please help;Education;2
many people jamshedpur fallen sick diarrhea recent floods please help us soon possible;Public Health;5
residents bero want inform electricity meter installed house showing wrong readings please look matter urgently;Energy & Sustainability;3
hello many people pakur fallen sick diarrhea recent floods please look matter urgently;Public Health;5
sir nearest hospital giridih far transport emergencies kindly send someone check soon possible;Public Health;5
may concern drainage near market karra blocked garbage overflowing please look matter urgently;Waste Management;7
sir tube well provided government shivpuri stopped working months kindly take necessary action;Agriculture & Rural Development;0
may concern railway crossing near ramgarh gate dangerous pedestrians;Safety & Public Welfare;6
may concern people dumping waste open plot near pathalgaon attracting stray animals smell become unbearable residents;Waste Management;7
every day going work pakur rainy season road near madhopur gets completely waterlogged unusable kindly take necessary action;Infrastructure & Roads;4
sir clean drinking water supply manjhgaon past 2 days kindly take necessary action;Water Quality & Sanitation;8
