complaint;category
The borewell water in our locality has become very hard and is damaging our utensils. We are worried about the health of our children because of this water.;Water Quality & Sanitation
Respected Sir/Madam, there are no proper road signs on the Sahibganj bypass and accidents keep happening. Requesting you to resolve this soon.;Infrastructure & Roads
Hello, wild animals from the nearby forest keep destroying our crops in Pathalgaon at night. This needs to be fixed immediately.;Agriculture & Rural Development
We the commuters of Tamar road want to inform you that there has been no streetlight on the road near Bero for over 18 months. This needs to be fixed immediately.;Infrastructure & Roads
There are open manholes on the Dumka road which is very risky at night. Please help us as soon as possible.;Infrastructure & Roads
Respected Authority, there is no proper lighting on the Palamu street and women feel scared to walk alone at night. Waiting for your response.;Safety & Public Welfare
Sir, the anganwadi centre in Manjhgaon has not distributed nutrition supplements in months. We are really worried about the health of our children.;Public Health
To whom it may concern, the stone crushing unit near Godda covers our entire area in dust every afternoon. Requesting you to resolve this soon.;Air & Environmental Pollution
Sir ji, there is no proper sewage system in Rampur and waste water collects on the road every day. Kindly send someone to check as soon as possible.;Water Quality & Sanitation
Respected Authority, our school does not have a library and students have no access to reference books. This needs to be fixed immediately.;Education
Dear Officer, the irrigation canal near Dhanbad has been dry for the entire season and our crops are dying. This needs to be fixed immediately.;Agriculture & Rural Development
Namaste sir, main ek kisan hoon from Silli village and the seeds supplied by the agriculture department this season did not germinate properly. Waiting for your response.;Agriculture & Rural Development
Respected Sir/Madam, vehicles passing through Tamar road release thick black smoke and no pollution check ever happens. Please help us as soon as possible.;Air & Environmental Pollution
Sir, the crop insurance claim for last season has still not been paid to farmers in Palamu. This needs to be fixed immediately.;Agriculture & Rural Development
Every day in Hazaribagh the new transformer promised for Giridih has still not been installed. We have been complaining about this for a long time now.;Energy & Sustainability
To whom it may concern, there is no proper sewage system in Lakhanpur and waste water collects on the road every day. This needs to be fixed immediately.;Water Quality & Sanitation
Respected Authority, the footpath near Bokaro has been broken for a long time and it is difficult for elderly people to walk. Kindly send someone to check as soon as possible.;Infrastructure & Roads
To whom it may concern, the coal transport trucks passing through Chaibasa spread black dust all over our houses. Waiting for your response.;Air & Environmental Pollution
We residents of Bokaro street want to inform you that people are dumping waste in the open plot near Chatra and it is attracting stray animals. Please look into this matter urgently.;Waste Management
Sir ji, the air quality in Gumla has become very bad and my family keeps coughing. Waiting for your response.;Air & Environmental Pollution
Respected Authority, stagnant water has collected near the sanitation tank in Devgarh for weeks now. We have been complaining about this for a long time now.;Water Quality & Sanitation
Respected Authority, the anganwadi centre in Kishanpur has not distributed nutrition supplements in months. We are really worried about the health of our children.;Public Health
Dear Officer, the playground equipment in Devgarh is broken and rusted, it is not safe for children anymore. Waiting for your response.;Safety & Public Welfare
The stone crushing unit near Dumka covers our entire area in dust every afternoon. Kindly send someone to check as soon as possible.;Air & Environmental Pollution
Sir ji, our village still does not have a proper electricity connection even after being promised one. Please look into this matter urgently.;Energy & Sustainability
Sir ji, there have been several incidents of chain snatching near Simdega market recently. Kindly send someone to check as soon as possible.;Safety & Public Welfare
To whom it may concern, the coal transport trucks passing through Bero spread black dust all over our houses. Requesting you to resolve this soon.;Air & Environmental Pollution
Sir ji, there is no police patrol at night in the Torpa area and residents feel unsafe. Kindly send someone to check as soon as possible.;Safety & Public Welfare
Every day in Sahibganj solar street lights installed in Koderma stopped working within a few months. Please send an electrician to check the meter and wiring.;Energy & Sustainability
The new transformer promised for Devgarh has still not been installed. This needs to be fixed immediately.;Energy & Sustainability
The water tank near our house has not been cleaned in months and mosquitoes are breeding in it. Please help us as soon as possible.;Water Quality & Sanitation
Respected Authority, the transformer near Lakhanpur keeps tripping and causing frequent power fluctuations. We have been complaining about this for a long time now.;Energy & Sustainability
Every morning in Hazaribagh garbage has not been collected from our street in Devgarh for over a week. Please send the garbage truck to our area regularly.;Waste Management
Dear Officer, the air quality in Pathalgaon has become very bad and my family keeps coughing. Please look into this matter urgently.;Air & Environmental Pollution
Dear Officer, the culvert near Jamshedpur has collapsed and villagers have to take a long detour now. Waiting for your response.;Infrastructure & Roads
Our school in Manjhgaon our school has no boundary wall and it is not safe during exam season. This is affecting our studies a lot, please help.;Education
Respected Sir/Madam, the garbage collection point near Giridih has not been cleared in weeks and smells very bad. Please send the garbage truck to our area regularly.;Waste Management
We residents of Ramgarh want to inform you that voltage fluctuation in Devgarh has damaged several household appliances recently.;Energy & Sustainability
Hello, sewage water is mixing with the drinking water pipeline in Madhopur. This needs to be fixed immediately.;Water Quality & Sanitation
I have been farming in Silli for many years and wild animals from the nearby forest keep destroying our crops in Bero at night. Please look into this matter urgently.;Agriculture & Rural Development
There have been several incidents of chain snatching near Palamu market recently. Requesting you to resolve this soon.;Safety & Public Welfare
Every day in Sahibganj there has been a power cut in Bishnupur for more than 21 hours every day. Hope for quick action from your side.;Energy & Sustainability
Sir ji, the factory near Ranchi releases thick black smoke every day and it is hard to breathe. Requesting you to resolve this soon.;Air & Environmental Pollution
To whom it may concern, during the rainy season the road near Giridih gets completely waterlogged and unusable. We have been complaining about this for a long time now.;Infrastructure & Roads
Respected Sir/Madam, the electricity bill this month is unusually high even though our usage has not increased. This needs to be fixed immediately.;Energy & Sustainability
Respected Authority, the drainage near the market in Dumka is blocked with garbage and overflowing. Please look into this matter urgently.;Waste Management
To whom it may concern, there is no ambulance service available in Tamar during emergencies. Hope for quick action from your side.;Public Health
I run a shop near Dumka market and plastic waste is being burnt openly near Palamu every evening. This needs to be fixed immediately.;Waste Management
To whom it may concern, there has been no clean drinking water supply in Bokaro for the past 9 days. Please look into this matter urgently.;Water Quality & Sanitation
The government school building in Jamshedpur has a leaking roof and classes get disturbed during rain. Kindly take necessary action.;Education
Respected Authority, we have not received the promised fertilizer subsidy this year. Hope for quick action from your side.;Agriculture & Rural Development
Dear Officer, the drainage near the market in Ramgarh is blocked with garbage and overflowing. Hope for quick action from your side.;Waste Management
Respected Sir/Madam, the factory near Chandpur releases thick black smoke every day and it is hard to breathe. We have been complaining about this for a long time now.;Air & Environmental Pollution
Hello, solar street lights installed in Manjhgaon stopped working within a few months. Kindly send someone to check as soon as possible.;Energy & Sustainability
Dear Officer, the culvert near Simdega has collapsed and villagers have to take a long detour now. Hope for quick action from your side.;Infrastructure & Roads
We residents of Bundu colony want to bring to your notice that smoke from the nearby thermal plant has made it difficult to breathe in Dhanbad lately. Waiting for your response.;Air & Environmental Pollution
Sir ji, there is no proper lighting on the Jamshedpur street and women feel scared to walk alone at night. We do not feel safe in our own neighbourhood anymore.;Safety & Public Welfare
We residents of Deoghar want to inform you that power supply in Godda keeps going off every time it rains. This is affecting our daily work a lot.;Energy & Sustainability
Respected Sir/Madam, our school does not have a library and students have no access to reference books. Waiting for your response.;Education
Respected Authority, there is no streetlight near the girls hostel in Ranchi and it feels unsafe to walk at night. This needs to be fixed immediately.;Safety & Public Welfare
As a parent of a student in Karra school, our school has no boundary wall and it is not safe during exam season. Please send more teachers to our school soon.;Education
Respected Sir/Madam, waste from the nearby slaughterhouse is being dumped near Chatra without any treatment. Hope for quick action from your side.;Waste Management
To whom it may concern, the brick kiln near our village releases smoke all day and our crops are getting affected. Please look into this matter urgently.;Air & Environmental Pollution
Respected Authority, the government hospital in Jamtara is always out of even basic medicines. This needs to be fixed immediately.;Public Health
Respected Sir/Madam, the new transformer promised for Silli has still not been installed. Hope for quick action from your side.;Energy & Sustainability
Hello, open drains near Jamtara are overflowing and spreading a foul smell all over the street. Kindly send someone to check as soon as possible.;Water Quality & Sanitation
Dear Officer, the primary health centre in Nagla Basti has no doctor available most days. Please look into this matter urgently.;Public Health
Respected Authority, the road connecting Pakur to the main highway has huge potholes and is very dangerous. Please look into this matter urgently.;Infrastructure & Roads
Our school in Khunti we have not received our textbooks even though the session started 42 months ago.;Education
Hello, the transformer near Nagla Basti keeps tripping and causing frequent power fluctuations. This needs to be fixed immediately.;Energy & Sustainability
Sir ji, garbage has not been collected from our street in Pathalgaon for over a week.;Waste Management
I have been farming in Sahibganj for many years and there has been no proper storage facility in Ranchi and a lot of our grain gets spoiled every year. We are facing a lot of losses because of this, please help soon.;Agriculture & Rural Development
I run a shop near Kishanpur market and people are dumping waste in the open plot near Latehar and it is attracting stray animals. Requesting you to resolve this soon.;Waste Management
Sir, our school has no boundary wall and it is not safe during exam season. This needs to be fixed immediately.;Education
Sir, there is no police patrol at night in the Shivpuri area and residents feel unsafe. This needs to be fixed immediately.;Safety & Public Welfare
The health worker has not visited our village for vaccination in over 12 weeks. This needs to be fixed immediately.;Public Health
Sir, the seeds supplied by the agriculture department this season did not germinate properly. Waiting for your response.;Agriculture & Rural Development
Hello, waste from the nearby slaughterhouse is being dumped near Gumla without any treatment. We have been complaining about this for a long time now.;Waste Management
I am a student studying in Ranchi and our school does not have a library and students have no access to reference books. This needs to be fixed immediately.;Education
I am a resident of Khunti and factory waste is being dumped into the river near Jamshedpur which we use for drinking water. Please help us as soon as possible.;Water Quality & Sanitation
To whom it may concern, the road divider near Nagla Basti market is broken and causing traffic problems every day. We have been complaining about this for a long time now.;Infrastructure & Roads
As a resident of Jamshedpur I want to inform you that the government hospital in Dumka is always out of even basic medicines. We are really worried about the health of our children.;Public Health
I am a class 22 student from Barhi and we have not received our textbooks even though the session started 36 months ago.;Education
Respected Sir/Madam, the irrigation canal near Barhi has been dry for the entire season and our crops are dying. Please look into this matter urgently.;Agriculture & Rural Development
Sir, vehicles passing through Karra road release thick black smoke and no pollution check ever happens. This needs to be fixed immediately.;Air & Environmental Pollution
I am a student studying in Karra and the computer lab in our school has been non functional for a long time. Please send more teachers to our school soon.;Education
My child has been unwell and there is no proper sanitation in the hospital ward and patients are getting infections. We have been complaining about this for a long time now.;Public Health
Hello, the water tank near our house has not been cleaned in months and mosquitoes are breeding in it. Please help us as soon as possible.;Water Quality & Sanitation
Every evening in Deoghar vehicles passing through Jamshedpur road release thick black smoke and no pollution check ever happens. Kindly take necessary action.;Air & Environmental Pollution
Every evening in Bishnupur the air quality in Chatra has become very bad and my family keeps coughing. Please look into this matter urgently.;Air & Environmental Pollution
People are dumping waste in the open plot near Bokaro and it is attracting stray animals. Please look into this matter urgently.;Waste Management
As a resident of Bokaro I want to inform you that mosquito breeding near the stagnant water in Chandpur is causing malaria cases to rise. Please send a doctor to our health centre soon.;Public Health
The hand pump in our village has been broken for 10 days and we have to walk far to fetch water. Please help us as soon as possible.;Water Quality & Sanitation
Respected Authority, during the rainy season the road near Pathalgaon gets completely waterlogged and unusable. Requesting you to resolve this soon.;Infrastructure & Roads
Sir, the garbage collection point near Sultanpur has not been cleared in weeks and smells very bad. Requesting you to resolve this soon.;Waste Management
To whom it may concern, the old age home in Karra does not have enough staff to take care of the residents. Requesting you to resolve this soon.;Safety & Public Welfare
As a resident of Godda I want to inform you that there is no ambulance service available in Rampur during emergencies. Please help us as soon as possible.;Public Health
We residents of Godda want to inform you that there has been a power cut in Chandpur for more than 6 hours every day.;Energy & Sustainability
My child has been unwell and the government hospital in Rampur is always out of even basic medicines. Please help us as soon as possible.;Public Health
To whom it may concern, the public toilet near Manjhgaon has no water connection and cannot be used. Kindly repair the pipeline before more people fall sick.;Water Quality & Sanitation
Dear Officer, vehicles passing through Sahibganj road release thick black smoke and no pollution check ever happens. Please help us as soon as possible.;Air & Environmental Pollution
Respected Sir/Madam, the tube well provided by the government in Kishanpur stopped working after a few months. Hope for quick action from your side.;Agriculture & Rural Development
Open drains near Pathalgaon are overflowing and spreading a foul smell all over the street. Waiting for your response.;Water Quality & Sanitation
To whom it may concern, our village still does not have a proper electricity connection even after being promised one. Please send an electrician to check the meter and wiring.;Energy & Sustainability
My child has been unwell and the government hospital in Gumla is always out of even basic medicines.;Public Health
Sir ji, the air quality in Kishanpur has become very bad and my family keeps coughing. Kindly take necessary action.;Air & Environmental Pollution
As a woman living in Giridih, the old age home in Bokaro does not have enough staff to take care of the residents. Kindly repair the streetlights for the safety of women and children.;Safety & Public Welfare
There is no proper sewage system in Sahibganj and waste water collects on the road every day. Please send someone to test the water quality soon.;Water Quality & Sanitation
Sir ji, the road divider near Khunti market is broken and causing traffic problems every day. Requesting you to resolve this soon.;Infrastructure & Roads
I am writing on behalf of the residents of Godda because the anganwadi centre in Chaibasa has not distributed nutrition supplements in months. We have been complaining about this for a long time now.;Public Health
I am a student studying in Devgarh and there is only one teacher for the entire primary school in Latehar. We have been complaining about this for a long time now.;Education
Respected Authority, we have not received our textbooks even though the session started 30 months ago. This is affecting our studies a lot, please help.;Education
Respected Authority, during the rainy season the road near Netarhat gets completely waterlogged and unusable. Kindly send someone to check as soon as possible.;Infrastructure & Roads
There is no proper lighting on the Manjhgaon street and women feel scared to walk alone at night. This needs to be fixed immediately.;Safety & Public Welfare
Being a parent in Giridih, there have been several incidents of chain snatching near Madhopur market recently. Please help us as soon as possible.;Safety & Public Welfare
Respected Authority, the water pipeline burst 27 days ago and dirty muddy water is entering our homes. Please help us as soon as possible.;Water Quality & Sanitation
Open drains near Dhanbad are overflowing and spreading a foul smell all over the street. Requesting you to resolve this soon.;Water Quality & Sanitation
Every morning in Jamshedpur plastic waste is being burnt openly near Silli every evening. Please help us as soon as possible.;Waste Management
We residents of Manjhgaon want to inform you that voltage fluctuation in Dhanbad has damaged several household appliances recently. Kindly send someone to check as soon as possible.;Energy & Sustainability
Dear Officer, solar street lights installed in Devgarh stopped working within a few months. Please help us as soon as possible.;Energy & Sustainability
Sir ji, our school has no boundary wall and it is not safe during exam season. Kindly take necessary action.;Education
I run a shop near Sahibganj market and plastic waste is being burnt openly near Giridih every evening. Please look into this matter urgently.;Waste Management
Respected Sir/Madam, the public toilet near Chandpur has no water connection and cannot be used. This needs to be fixed immediately.;Water Quality & Sanitation
Sir, the garbage collection point near Barhi has not been cleared in weeks and smells very bad. Kindly send someone to check as soon as possible.;Waste Management
Sir, the irrigation canal near Chatra has been dry for the entire season and our crops are dying. Kindly send an agriculture officer to inspect our fields.;Agriculture & Rural Development
Sir, the railway crossing near Bundu has no gate and it is very dangerous for pedestrians. This needs to be fixed immediately.;Safety & Public Welfare
Every day in Torpa the transformer near Sultanpur keeps tripping and causing frequent power fluctuations. Kindly take necessary action.;Energy & Sustainability
Respected Sir/Madam, there have been several incidents of chain snatching near Gumla market recently.;Safety & Public Welfare
Hello, our children have been falling sick after drinking the water supplied in Sahibganj. Please send someone to test the water quality soon.;Water Quality & Sanitation
Sir ji, the tap water in our area has turned yellow and smells very bad. Please help us as soon as possible.;Water Quality & Sanitation
We residents of Bero colony want to bring to your notice that there is a strong chemical smell coming from the industrial area near Sultanpur every night. Kindly inspect the pollution levels in our area.;Air & Environmental Pollution
Respected Authority, smoke from the nearby thermal plant has made it difficult to breathe in Torpa lately. Kindly send someone to check as soon as possible.;Air & Environmental Pollution
Sir, I am a farmer from Dumka and the crop insurance claim for last season has still not been paid to farmers in Tamar. Hope for quick action from your side.;Agriculture & Rural Development
Hello, there have been several incidents of chain snatching near Godda market recently. This needs to be fixed immediately.;Safety & Public Welfare
To whom it may concern, sewage water is mixing with the drinking water pipeline in Chatra. We have been complaining about this for a long time now.;Water Quality & Sanitation
Dear Officer, there are open manholes on the Sultanpur road which is very risky at night. Kindly send someone to check as soon as possible.;Infrastructure & Roads
I am a class 44 student from Shivpuri and there is only one teacher for the entire primary school in Madhopur. Requesting you to resolve this soon.;Education
I stay near the industrial area of Sahibganj and the factory near Jamshedpur releases thick black smoke every day and it is hard to breathe. Kindly inspect the pollution levels in our area.;Air & Environmental Pollution
Sir, the drainage near the market in Kishanpur is blocked with garbage and overflowing. Please send the garbage truck to our area regularly.;Waste Management
Dear Officer, there is no proper sewage system in Nagla Basti and waste water collects on the road every day. Please look into this matter urgently.;Water Quality & Sanitation
Wild animals from the nearby forest keep destroying our crops in Gumla at night. We are facing a lot of losses because of this, please help soon.;Agriculture & Rural Development
Hello, the crop insurance claim for last season has still not been paid to farmers in Barhi. We have been complaining about this for a long time now.;Agriculture & Rural Development
Hello, my child has been suffering from fever for 16 days and the local clinic has no medicines. We are really worried about the health of our children.;Public Health
The nearest school for higher secondary is very far from Giridih and many students drop out because of this. Please help us as soon as possible.;Education
I have been farming in Chatra for many years and the tube well provided by the government in Ranchi stopped working after a few months. We are facing a lot of losses because of this, please help soon.;Agriculture & Rural Development
Being a parent in Kishanpur, there is no police patrol at night in the Latehar area and residents feel unsafe. Please increase police patrolling in our area.;Safety & Public Welfare
I run a shop near Hazaribagh market and plastic waste is being burnt openly near Silli every evening. Kindly take necessary action.;Waste Management
Sir ji, the new transformer promised for Barhi has still not been installed. Requesting you to resolve this soon.;Energy & Sustainability
To whom it may concern, plastic waste is being burnt openly near Bero every evening. Kindly send someone to check as soon as possible.;Waste Management
To whom it may concern, the nearest hospital from Chandpur is very far and there is no transport during emergencies. We are really worried about the health of our children.;Public Health
Dear Officer, the road was dug up for pipeline work 28 months ago and still has not been repaired. Waiting for your response.;Infrastructure & Roads
Dear Officer, the water from the community well tastes salty and is unsafe to drink. Kindly repair the pipeline before more people fall sick.;Water Quality & Sanitation
Sir, open drains near Pakur are overflowing and spreading a foul smell all over the street. We have been complaining about this for a long time now.;Water Quality & Sanitation
The primary health centre in Hazaribagh has no doctor available most days. Waiting for your response.;Public Health
We the farmers of Koderma want to inform you that wild animals from the nearby forest keep destroying our crops in Bero at night.;Agriculture & Rural Development
We the residents of Dumka colony want to inform you that the old age home in Kishanpur does not have enough staff to take care of the residents. Please increase police patrolling in our area.;Safety & Public Welfare
Hello, many people in Godda have fallen sick with diarrhea after the recent floods. This needs to be fixed immediately.;Public Health
Respected Sir/Madam, wild animals from the nearby forest keep destroying our crops in Jamshedpur at night. We are facing a lot of losses because of this, please help soon.;Agriculture & Rural Development
Respected Authority, the nearest school for higher secondary is very far from Manjhgaon and many students drop out because of this. This is affecting our studies a lot, please help.;Education
Sir, vehicles passing through Torpa road release thick black smoke and no pollution check ever happens. We have been complaining about this for a long time now.;Air & Environmental Pollution
There has been no proper storage facility in Shivpuri and a lot of our grain gets spoiled every year. This needs to be fixed immediately.;Agriculture & Rural Development
The anganwadi centre in Madhopur has not distributed nutrition supplements in months. Requesting you to resolve this soon.;Public Health
Respected Sir/Madam, the CCTV cameras installed near Deoghar market have not been working for months. Kindly send someone to check as soon as possible.;Safety & Public Welfare
We the residents of Latehar village want to inform you that factory waste is being dumped into the river near Devgarh which we use for drinking water. Kindly take necessary action.;Water Quality & Sanitation
To whom it may concern, plastic waste is being burnt openly near Sahibganj every evening. The smell has become unbearable for the residents.;Waste Management
Hello, the coal transport trucks passing through Ramgarh spread black dust all over our houses. Please look into this matter urgently.;Air & Environmental Pollution
Sir, plastic waste is being burnt openly near Koderma every evening. Kindly take necessary action.;Waste Management
I am a class 37 student from Hazaribagh and there are no proper toilets for girls in our school and many students skip classes because of this. This needs to be fixed immediately.;Education
Hello, there is no dustbin provided in the market area of Chandpur so people throw garbage on the road. Please look into this matter urgently.;Waste Management
Every day in Bokaro there has been a power cut in Simdega for more than 2 hours every day. We have been complaining about this for a long time now.;Energy & Sustainability
To whom it may concern, the health worker has not visited our village for vaccination in over 34 weeks. Kindly take necessary action.;Public Health
Respected Sir/Madam, the anganwadi centre in Shivpuri has not distributed nutrition supplements in months. Please send a doctor to our health centre soon.;Public Health
To whom it may concern, there is a strong chemical smell coming from the industrial area near Ranchi every night. Please look into this matter urgently.;Air & Environmental Pollution
Our school in Jamtara our school has no boundary wall and it is not safe during exam season.;Education
I am writing on behalf of the residents of Nagla Basti because many people in Jamshedpur have fallen sick with diarrhea after the recent floods. We are really worried about the health of our children.;Public Health
We residents of Pathalgaon want to inform you that the new transformer promised for Rampur has still not been installed. Hope for quick action from your side.;Energy & Sustainability
Respected Sir/Madam, the anganwadi centre in Latehar has not distributed nutrition supplements in months. Please help us as soon as possible.;Public Health
The government hospital in Deoghar is always out of even basic medicines. We are really worried about the health of our children.;Public Health
There is no proper sanitation in the hospital ward and patients are getting infections. Kindly arrange for medicines and a health camp in our area.;Public Health
Sir ji, the tube well provided by the government in Manjhgaon stopped working after a few months. We are facing a lot of losses because of this, please help soon.;Agriculture & Rural Development
As a resident of Ranchi I want to inform you that there is no proper sanitation in the hospital ward and patients are getting infections. This needs to be fixed immediately.;Public Health
Respected Authority, the public toilet near Chaibasa has no water connection and cannot be used. We are worried about the health of our children because of this water.;Water Quality & Sanitation
We the residents of Dhanbad colony want to inform you that there is no police patrol at night in the Hazaribagh area and residents feel unsafe. Please help us as soon as possible.;Safety & Public Welfare
Respected Authority, plastic waste is being burnt openly near Chandpur every evening. Please help us as soon as possible.;Waste Management
To whom it may concern, the government hospital in Bundu is always out of even basic medicines. Kindly take necessary action.;Public Health
Sir, open drains near Netarhat are overflowing and spreading a foul smell all over the street. Kindly repair the pipeline before more people fall sick.;Water Quality & Sanitation
Being a parent in Giridih, there is no proper lighting on the Khunti street and women feel scared to walk alone at night. This needs to be fixed immediately.;Safety & Public Welfare
Dear Officer, the water pipeline burst 9 days ago and dirty muddy water is entering our homes. This needs to be fixed immediately.;Water Quality & Sanitation
Respected Authority, the health worker has not visited our village for vaccination in over 10 weeks. Kindly take necessary action.;Public Health
Respected Sir/Madam, we have not received our textbooks even though the session started 32 months ago. Hope for quick action from your side.;Education
Respected Authority, the nearest school for higher secondary is very far from Jamshedpur and many students drop out because of this. Requesting you to resolve this soon.;Education
We residents of Bishnupur colony want to bring to your notice that the brick kiln near our village releases smoke all day and our crops are getting affected. Please look into this matter urgently.;Air & Environmental Pollution
Hello, wild animals from the nearby forest keep destroying our crops in Bundu at night. Waiting for your response.;Agriculture & Rural Development
Sir, the electricity bill this month is unusually high even though our usage has not increased. Please help us as soon as possible.;Energy & Sustainability
My child has been unwell and my child has been suffering from fever for 34 days and the local clinic has no medicines.;Public Health
To whom it may concern, the CCTV cameras installed near Hazaribagh market have not been working for months. Requesting you to resolve this soon.;Safety & Public Welfare
The road connecting Sultanpur to the main highway has huge potholes and is very dangerous. This needs to be fixed immediately.;Infrastructure & Roads
Sir, there is no proper sanitation in the hospital ward and patients are getting infections. Please help us as soon as possible.;Public Health
I run a shop near Dhanbad market and waste from the nearby slaughterhouse is being dumped near Koderma without any treatment. This needs to be fixed immediately.;Waste Management
Every evening in Bero the air quality in Jamshedpur has become very bad and my family keeps coughing. We have been complaining about this for a long time now.;Air & Environmental Pollution
Sir, people are dumping waste in the open plot near Bero and it is attracting stray animals. Waiting for your response.;Waste Management
Dear Officer, sewage water is mixing with the drinking water pipeline in Palamu. Please help us as soon as possible.;Water Quality & Sanitation
We the residents of Rampur colony want to inform you that the railway crossing near Karra has no gate and it is very dangerous for pedestrians. Waiting for your response.;Safety & Public Welfare
Respected Sir/Madam, our fields flooded after the recent rains and there was no compensation given to us. Please help us kisano ko, we are very troubled by this.;Agriculture & Rural Development
Hello, the garbage collection point near Sultanpur has not been cleared in weeks and smells very bad. Kindly send someone to check as soon as possible.;Waste Management
Sir, there has been no clean drinking water supply in Bokaro for the past 15 days. Please look into this matter urgently.;Water Quality & Sanitation
My child has been unwell and the primary health centre in Chandpur has no doctor available most days. This needs to be fixed immediately.;Public Health
Respected Authority, during the rainy season the road near Barhi gets completely waterlogged and unusable. Waiting for your response.;Infrastructure & Roads
As a parent of a student in Torpa school, we have not received our textbooks even though the session started 37 months ago. We have been complaining about this for a long time now.;Education
I have been living in Devgarh for many years and the water from the community well tastes salty and is unsafe to drink. We have been complaining about this for a long time now.;Water Quality & Sanitation
We the residents of Chatra colony want to inform you that there is no streetlight near the girls hostel in Madhopur and it feels unsafe to walk at night. Please help us as soon as possible.;Safety & Public Welfare
Sir ji, the electricity bill this month is unusually high even though our usage has not increased. We have been complaining about this for a long time now.;Energy & Sustainability
Voltage fluctuation in Ranchi has damaged several household appliances recently. Kindly send someone to check as soon as possible.;Energy & Sustainability
Every day while going to work through Chaibasa there are no proper road signs on the Godda bypass and accidents keep happening. Waiting for your response.;Infrastructure & Roads
Respected Authority, the garbage collection point near Dhanbad has not been cleared in weeks and smells very bad. Requesting you to resolve this soon.;Waste Management
Sir ji, the old age home in Simdega does not have enough staff to take care of the residents. This needs to be fixed immediately.;Safety & Public Welfare
Sir, I am a farmer from Lakhanpur and the loan waiver promised to farmers in Simdega has still not been processed. Hope for quick action from your side.;Agriculture & Rural Development
Namaste sir, main ek kisan hoon from Shivpuri village and wild animals from the nearby forest keep destroying our crops in Netarhat at night. Hope for quick action from your side.;Agriculture & Rural Development
Respected Authority, people are dumping waste in the open plot near Khunti and it is attracting stray animals. Requesting you to resolve this soon.;Waste Management
Every day in Torpa our village still does not have a proper electricity connection even after being promised one. Hope for quick action from your side.;Energy & Sustainability
Respected Authority, solar street lights installed in Bundu stopped working within a few months. We have been complaining about this for a long time now.;Energy & Sustainability
Sir, sewage water is mixing with the drinking water pipeline in Gumla. Kindly take necessary action.;Water Quality & Sanitation
Respected Sir/Madam, my child has been suffering from fever for 43 days and the local clinic has no medicines. Hope for quick action from your side.;Public Health
Namaste sir, main ek kisan hoon from Lakhanpur village and there has been no proper storage facility in Simdega and a lot of our grain gets spoiled every year. Requesting you to resolve this soon.;Agriculture & Rural Development
Sir ji, the coal transport trucks passing through Jamtara spread black dust all over our houses. Requesting you to resolve this soon.;Air & Environmental Pollution
Dear Officer, the drainage near the market in Ramgarh is blocked with garbage and overflowing. Please send the garbage truck to our area regularly.;Waste Management
Sir, there is a strong chemical smell coming from the industrial area near Kishanpur every night. This needs to be fixed immediately.;Air & Environmental Pollution
We the farmers of Jamshedpur want to inform you that the irrigation canal near Devgarh has been dry for the entire season and our crops are dying. Requesting you to resolve this soon.;Agriculture & Rural Development
Respected Authority, the CCTV cameras installed near Gumla market have not been working for months. Requesting you to resolve this soon.;Safety & Public Welfare
